name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year
Rise Above This,Seether: 2002-2013,Seether,2013-01-01,204821,42,0.0109,0.515,0.833,1.07e-06,0.0741,-3.014,0.0328,120.005,0.254,4,1,1,spotify:track:6nallRvLIcqax2AZTbc48y,2013
Mary Jane's Last Dance,Anthology: Through The Years,Tom Petty and the Heartbreakers,2000-01-01,272266,0,0.0383,0.402,0.814,1.19e-06,0.266,-4.954,0.14,170.02,0.516,4,10,1,spotify:track:5eYwDBLucWfWI5KsV7oYX2,2000
Placeholder,Under Soil and Dirt,The Story So Far,2011-06-21,185733,51,0.0595,0.416,0.969,0.0,0.104,-2.361,0.0611,182.038,0.449,4,2,1,spotify:track:38sLZRXFfJPAeqFE0SX3NS,2011
Bored To Death,Bored To Death,blink-182,2016-04-27,235613,0,0.00575,0.502,0.966,1.56e-06,0.117,-3.876,0.0946,159.948,0.638,4,0,1,spotify:track:34hoCwSsssai61QCqzGYtX,2016
People Live Here,The Black Market,Rise Against,2014-01-01,248986,55,0.367,0.472,0.463,0.0,0.136,-6.321,0.028,165.046,0.316,3,11,1,spotify:track:3YsbKbo8m5Uv5zAG2hqOrN,2014
The Gift,Karma and Effect,Seether,2005-01-01,334186,53,0.000173,0.529,0.688,0.0239,0.141,-5.722,0.0313,113.289,0.223,4,8,0,spotify:track:5Vo2JtJMOozIKC7y37HLv8,2005
On Melancholy Hill,Plastic Beach,Gorillaz,2010-03-03,233866,80,1.51e-05,0.689,0.739,0.509,0.064,-5.81,0.026,120.423,0.578,4,2,1,spotify:track:0q6LuUqGLUiCPP1cbdwFs3,2010
Polly,Nevermind (Remastered),Nirvana,1991-09-26,173853,63,0.884,0.83,0.382,0.301,0.11,-11.231,0.0566,121.12,0.54,4,2,0,spotify:track:3tlXDvaNrrOmdvG0XVUOcv,1991
Up Up & Away,Man On The Moon: The End Of Day,Kid Cudi,2009-09-15,227346,56,0.0722,0.66,0.881,3.4e-05,0.362,-6.119,0.0849,120.017,0.586,4,10,0,spotify:track:6MWH4pJQ5QYjidX2A2KECd,2009
Gold Snafu,Land Of Pleasure,Sticky Fingers,2014-08-01,218902,1,0.00458,0.66,0.849,0.00011,0.0877,-5.97,0.0293,102.005,0.836,4,0,1,spotify:track:6jj5kO7tFT3ir8WbbVO0iU,2014
