name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year
"Archie, Marry Me",Alvvays,Alvvays,2014-07-22,196560,65,0.00956,0.27,0.83,0.434,0.142,-4.592,0.0741,117.314,0.205,4,7,1,spotify:track:5HLes17mwCwKt81mi0Tk35,2014
I Don't Know You,I Don't Know You,The Marías,2017-06-14,209449,69,0.293,0.884,0.333,0.0205,0.103,-9.753,0.0617,118.065,0.587,4,9,0,spotify:track:4cJOLN346rtOty3UPACsao,2017
Only Human,Happiness Begins,Jonas Brothers,2019-06-07,183000,76,0.108,0.795,0.496,0.0,0.0645,-5.883,0.0722,94.01,0.874,4,0,1,spotify:track:0DiDStADDVh3SvAsoJAFMk,2019
Sucker,Happiness Begins,Jonas Brothers,2019-06-07,181026,84,0.0427,0.842,0.734,0.0,0.106,-5.065,0.0588,137.958,0.952,4,1,0,spotify:track:22vgEDb5hykfaTwLuskFGD,2019
Out in the Way,What a Pleasure,Beach Fossils,2011-03-08,232007,0,0.00117,0.541,0.786,0.912,0.225,-6.731,0.0274,133.009,0.744,4,11,1,spotify:track:4M11VQwDGN8kk03um6s5ps,2011
Don't Throw it Away,Happiness Begins,Jonas Brothers,2019-06-07,172560,52,0.0245,0.731,0.858,0.0,0.0852,-5.082,0.0981,102.02,0.732,4,1,0,spotify:track:24eP9hGnGR6RCQvllQVkCm,2019
Off and On,Forever & Ever,SALES,2018-07-19,250909,44,0.173,0.811,0.472,0.407,0.0969,-13.446,0.0429,131.983,0.822,4,8,0,spotify:track:4WbSPgddOWXGQNnUB7Jabq,2018
In Undertow,Antisocialites,Alvvays,2017-09-08,197186,55,0.000112,0.359,0.691,0.00167,0.101,-2.626,0.0438,116.888,0.311,4,1,1,spotify:track:1gvaxqNiJEbQzWPqs72kgG,2017
What Do You Want from Me Tonight?,Ed Buys Houses,Sidney Gish,2016-12-29,133743,46,0.657,0.552,0.236,0.0,0.0988,-12.252,0.0318,90.0,0.619,4,4,1,spotify:track:2OZVUfl8K0Ijw32bUf1fG4,2016
Saint Ivy,Somersault,Beach Fossils,2017-06-02,224410,0,0.0338,0.39,0.546,0.0586,0.328,-6.588,0.0346,163.452,0.441,4,11,0,spotify:track:6qn2qn12aqeFfIjGodvxjw,2017
Easier Said,Human Ceremony,Sunflower Bean,2016-02-05,208229,44,0.29,0.507,0.9,0.374,0.154,-4.226,0.036,155.072,0.663,4,8,0,spotify:track:5KOMmEpFZmon7Mnpkan3RZ,2016
What a Pleasure,What a Pleasure,Beach Fossils,2011-03-08,152684,3,0.000176,0.523,0.938,0.929,0.32,-4.362,0.0652,152.009,0.877,4,2,1,spotify:track:6p5oyiuAmfNdm526xamHxf,2011
Used To Be,Happiness Begins,Jonas Brothers,2019-06-07,184986,53,0.172,0.71,0.517,0.0,0.0786,-6.85,0.0448,145.946,0.176,4,1,1,spotify:track:2n6red10oCd6YhlEUp6jXy,2019
When Am I Gonna Lose You,When Am I Gonna Lose You / Café Amarillo,Local Natives,2019-03-08,264213,0,0.0417,0.452,0.834,0.00036,0.119,-4.657,0.0967,142.088,0.514,4,11,1,spotify:track:7ze7X8r4fopBs9ZRtwYFOX,2019
Stuck on the puzzle,Submarine - Original Songs From The Film By Alex Turner,Alex Turner,2011-03-15,211053,59,0.0792,0.58,0.682,0.0316,0.161,-8.523,0.0332,77.53,0.774,4,4,1,spotify:track:7w6QlKAOcNEnqRgrnJvQtr,2011
