name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year
Space Ghost Coast To Coast,Dreamland,Glass Animals,2020-08-07,187383,67,0.105,0.903,0.529,0.00255,0.138,-9.901,0.0623,100.977,0.353,4,8,1,spotify:track:0RZLmpEzGR2NHite6rvS5H,2020
Shotgun Blast,California Mistake,Caleb Henry,2020-04-17,239969,2,0.00105,0.538,0.621,0.000133,0.12,-7.231,0.0285,141.019,0.463,4,11,0,spotify:track:7atHddQ9G02jPsQc8V5J9X,2020
It’s All So Incredibly Loud,It’s All So Incredibly Loud,Glass Animals,2020-07-31,259060,45,0.598,0.394,0.278,0.169,0.0689,-13.28,0.033,106.989,0.121,4,1,0,spotify:track:0H8LHYMi4hzbwSzxp7DOxR,2020
Silvertongue,Home of the Strange,Young the Giant,2016-08-12,197426,65,0.00975,0.673,0.789,0.0,0.752,-4.288,0.0408,100.043,0.841,4,0,1,spotify:track:0yTJtxZJ5VLfBEHhiNUNeY,2016
Piece,Zombie.P,Too Many Zooz,2019-09-17,194142,29,0.107,0.951,0.564,0.903,0.0617,-6.792,0.0944,114.988,0.598,4,9,0,spotify:track:3DZekdK2zMndgFDiVaKcyb,2019
High Fashion (feat. Mustard),Please Excuse Me for Being Antisocial,Roddy Ricch,2019-12-06,220486,79,0.269,0.831,0.499,0.0,0.3,-8.442,0.114,97.956,0.511,4,11,0,spotify:track:07KXEDMj78x68D884wgVEm,2019
Waterfalls Coming Out Your Mouth,Dreamland,Glass Animals,2020-08-07,161789,66,0.194,0.649,0.553,0.000553,0.178,-7.139,0.034,149.004,0.322,4,11,0,spotify:track:7s0FCUlKnSFjFPzcIJmkwo,2020
Cruise Control,Ride Waves,GRiZ,2019-04-05,273105,39,0.00395,0.324,0.654,0.000192,0.408,-6.21,0.283,176.606,0.632,4,4,1,spotify:track:3wYml942fyI0Arm6qG0s1I,2019
Fallingwater,Heard It In A Past Life,Maggie Rogers,2019-01-18,271200,66,0.613,0.389,0.322,0.000534,0.093,-8.933,0.0355,86.929,0.453,4,2,1,spotify:track:2CPLGREl5ahzA2WPBMkpxh,2019
Ballin' (with Roddy Ricch),Perfect Ten,Mustard,2019-06-28,180434,83,0.392,0.809,0.545,0.0,0.151,-6.678,0.0735,97.008,0.244,4,7,1,spotify:track:3QzAOrNlsabgbMwlZt7TAY,2019
Mr. Know-It-All,Home of the Strange,Young the Giant,2016-08-12,191746,50,0.0185,0.627,0.871,0.0,0.117,-4.304,0.094,151.079,0.725,4,2,1,spotify:track:4gbKtqZDkNl6MrScQhfCt9,2016
Your Love (Déjà Vu),Your Love (Déjà Vu),Glass Animals,2020-02-19,234372,64,0.019,0.854,0.671,0.383,0.105,-7.158,0.0543,107.994,0.631,4,7,1,spotify:track:5DYD4zlGiFlkpLaf2Bk8Vl,2020
The Knife,Heard It In A Past Life,Maggie Rogers,2019-01-18,239333,53,0.0538,0.664,0.753,0.0,0.345,-4.734,0.0357,95.036,0.786,4,11,0,spotify:track:6axvsEl14rlaUWKEt9CSFR,2019
Can You Do,Under My Influence,The Aces,2020-07-17,146681,37,0.000848,0.727,0.672,0.000862,0.0933,-5.212,0.0352,130.006,0.961,4,10,0,spotify:track:3No61pIRhlYzBMjhdxcNjZ,2020
Personal,The Juice: Vol. I,Emotional Oranges,2019-05-10,225200,56,0.0973,0.825,0.523,3.32e-05,0.152,-7.021,0.0736,100.014,0.573,4,0,1,spotify:track:5jrr4qdmd6jmstVgHxCXMO,2019
Tokyo Drifting,Dreamland,Glass Animals,2020-08-07,216821,66,0.12,0.715,0.438,0.000139,0.107,-9.874,0.0575,128.905,0.418,4,8,0,spotify:track:2MA6YoaFF7fnWqkuOAWjUg,2020
Light On,Heard It In A Past Life,Maggie Rogers,2019-01-18,233880,72,0.201,0.657,0.569,1.38e-05,0.126,-6.287,0.0542,102.054,0.399,4,2,1,spotify:track:6UnCGAEmrbGIOSmGRZQ1M2,2019
All My Friends,All My Friends,Madeon,2019-05-31,204626,50,0.0248,0.669,0.757,0.0,0.283,-4.259,0.0469,106.018,0.708,4,8,0,spotify:track:7sGTH1fber0bhncNMfNxmt,2019
Brianstorm,Favourite Worst Nightmare (Standard Version),Arctic Monkeys,2007-04-24,170253,62,8.39e-05,0.421,0.98,0.00125,0.237,-4.229,0.212,165.193,0.435,4,1,1,spotify:track:5rTIpPWeO0IL4HWlGWrz5G,2007
Domestic Bliss,Dreamland,Glass Animals,2020-08-07,198034,61,0.708,0.657,0.357,8.28e-06,0.0803,-10.922,0.0699,114.994,0.336,4,9,0,spotify:track:26E2fb3lp8MUEHq1WagF5f,2020
The Sharpest Lives,The Black Parade,My Chemical Romance,2006-10-23,200880,68,0.000111,0.513,0.937,0.000102,0.083,-3.427,0.0532,155.015,0.543,4,1,0,spotify:track:2kMjk14RmYyYhhSbipoa9U,2006
Close Your Eyes (And Count To Fuck),Run The Jewels 2,Run The Jewels,2014-10-24,234160,5,0.0123,0.678,0.662,0.0,0.133,-6.473,0.3,80.318,0.498,4,1,1,spotify:track:2Kn3xgaDCM4aHuHK7FApgC,2014
Omen,Caracal (Deluxe),Disclosure,2015-09-25,230250,65,0.0614,0.723,0.678,0.0,0.372,-5.224,0.125,106.01,0.633,4,8,1,spotify:track:4kuPeLqTPXDkPB2injreCw,2015
California Mistake,California Mistake,Caleb Henry,2020-04-17,262483,2,7.49e-05,0.364,0.894,0.0143,0.379,-6.191,0.0456,151.109,0.608,4,4,1,spotify:track:74d0GOcfEcBmyHxV89ZhW0,2020
Hot Sugar,Dreamland,Glass Animals,2020-08-07,234865,65,0.0837,0.705,0.487,0.028,0.303,-9.456,0.0587,88.616,0.34,4,0,0,spotify:track:0r9OkYadpBgYA2bkkrRSsI,2020
A Certain Romance,"Whatever People Say I Am, That's What I'm Not",Arctic Monkeys,2006-02-21,331200,57,0.000566,0.455,0.881,6.06e-05,0.11,-5.587,0.0401,137.949,0.201,4,11,1,spotify:track:2CbtdkBeW9Znt4vXTOafAl,2006
Controller,Controller,Channel Tres,2018-04-17,208458,0,0.00469,0.888,0.696,0.296,0.0466,-6.597,0.0608,118.003,0.723,4,3,0,spotify:track:34aM4AadnV3foQ1cadQYr9,2018
Out in the Way,What a Pleasure,Beach Fossils,2011-03-08,232007,0,0.00117,0.541,0.786,0.912,0.225,-6.731,0.0274,133.009,0.744,4,11,1,spotify:track:4M11VQwDGN8kk03um6s5ps,2011
Helium,Dreamland,Glass Animals,2020-08-07,328232,65,0.854,0.289,0.307,0.275,0.255,-16.036,0.0452,96.516,0.0477,4,4,1,spotify:track:1yOc6FBOVD6zBwOMxiSEEv,2020
Blue World,Circles,Mac Miller,2020-01-17,209440,80,0.389,0.742,0.553,0.0,0.0694,-8.98,0.419,84.931,0.508,4,8,1,spotify:track:2hwOoMtWPtTSSn6WHV7Vp5,2020
Real's Not Real,Fishing For Fishies,King Gizzard & The Lizard Wizard,2019-04-26,220840,0,0.00172,0.297,0.762,0.555,0.408,-6.937,0.0428,159.685,0.592,3,11,1,spotify:track:1vnHnuDuD6JEm2aImSpCov,2019
Caught Up,Ride Waves,GRiZ,2019-04-05,224901,34,0.000214,0.6,0.715,0.367,0.149,-7.091,0.044,130.099,0.543,4,7,0,spotify:track:3rbLA67u8t59Mbf5mlck3Y,2019
Changing,All At Once,The Airborne Toxic Event,2011-01-01,200053,55,0.0186,0.613,0.913,0.0,0.084,-4.26,0.0545,102.524,0.641,4,8,1,spotify:track:6M23RkYPbVR91c4iWVNkcl,2011
Paws,Mirror Maru - EP,Cashmere Cat,2012-10-22,262013,30,0.478,0.707,0.575,0.128,0.103,-6.629,0.0343,129.953,0.216,4,2,0,spotify:track:1v8sFvz8VBTTemAAydTtv0,2012
You and I,You and I,Caribou,2019-12-04,243946,0,0.0661,0.729,0.526,0.145,0.109,-7.988,0.0312,111.921,0.442,4,9,0,spotify:track:5IBdGT5kl3wNblGeCpVYrH,2019
Spiderhead,Melophobia,Cage The Elephant,2013-10-08,222813,65,0.00614,0.543,0.946,1.49e-05,0.106,-0.734,0.0454,117.962,0.547,4,2,1,spotify:track:5r5Lj2MkgwQJz6TaBdL865,2013
Forever (feat. Run The Jewels),Forever (feat. Run The Jewels),Travis Barker,2020-07-30,171426,30,0.000321,0.459,0.909,0.0822,0.152,-6.77,0.259,169.855,0.605,4,1,1,spotify:track:3u5DWPT4s0w17L8LN8nCPg,2020
Showdown,Zombie.P,Too Many Zooz,2019-09-17,210860,27,0.276,0.803,0.571,0.919,0.078,-7.417,0.115,148.001,0.569,4,9,0,spotify:track:1TtEwNWmDBMhQdegYF49H9,2019
Dreamland,Dreamland,Glass Animals,2020-05-01,203492,54,0.883,0.253,0.352,0.00191,0.0668,-11.509,0.0357,141.97,0.099,5,8,1,spotify:track:5Bkw0lMhwk8tF4kMgCCJLv,2020
Lost In Yesterday,The Slow Rush,Tame Impala,2020-02-14,249586,72,0.0295,0.569,0.84,0.000118,0.0995,-4.123,0.118,183.059,0.749,3,1,1,spotify:track:5JWPUEov2wlX7c0jhYZpeB,2020
Halfway to the Hudson,Lucky Chops,Lucky Chops,2019-09-27,247805,34,0.00137,0.735,0.871,0.496,0.0724,-5.846,0.0315,117.99,0.943,4,11,0,spotify:track:0WRaMjFczNiE1WCqpGxAMv,2019
Glide,Glide,Channel Tres,2018-08-03,266404,0,0.00297,0.734,0.568,0.739,0.0989,-12.769,0.0615,118.99,0.148,4,2,1,spotify:track:2ChSNCWDprSWvj9GZRKzZd,2018
