name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year
Sins Of My Youth,Habits,Neon Trees,2010-01-01,218546,26,6.13e-05,0.429,0.815,4.76e-06,0.238,-5.022,0.0422,160.957,0.638,4,4,1,spotify:track:7oOnUNQDoysPIsvOUukkHP,2010
Save Some Love,Save Some Love,HANDSOME,2018-03-01,223885,0,0.512,0.816,0.608,0.0107,0.087,-9.89,0.0416,119.97,0.712,4,5,1,spotify:track:2xdMKSTXpWwzKE2wv8gXtH,2018
Realla,Desiderium,TOKiMONSTA,2014-09-23,210448,62,0.443,0.628,0.602,0.0223,0.128,-8.45,0.051,129.95,0.237,4,5,1,spotify:track:5mzoBYJM5WKAMQEOHpcgsx,2014
Bath Full of Ecstasy,A Bath Full of Ecstasy,Hot Chip,2019-06-21,240106,32,0.0289,0.669,0.573,1.21e-05,0.129,-9.131,0.0319,106.986,0.385,4,10,1,spotify:track:4RQ13ypYunmHhT7icslYYG,2019
To the Moon,CHROMATOPIA,NoMBe,2021-05-07,231000,44,0.0544,0.715,0.706,0.0278,0.267,-7.759,0.0403,114.967,0.833,4,11,0,spotify:track:7elfoULwHAcQCAGiXSO4JS,2021
November Nights,Portraits Outtakes,Maribou State,2016-01-22,301982,39,0.265,0.778,0.646,0.86,0.119,-7.462,0.0481,120.011,0.359,4,9,1,spotify:track:7p0G6Wr2Sd8AnVYePdA7Gu,2016
Low Tide,Gallows,DRAMA,2016-11-30,228224,29,0.709,0.77,0.454,0.0708,0.164,-9.517,0.0287,107.024,0.493,4,7,1,spotify:track:12VPr7FUnYrSB3GX77ymJm,2016
Wolves,Notes from the Archive: Recordings 2011-2016,Maggie Rogers,2020-12-18,237000,43,0.77,0.299,0.38,2.53e-05,0.0958,-7.01,0.0303,73.873,0.257,4,11,0,spotify:track:3vNbZezbxBZUGGRlNe4Os2,2020
Fire for You,Shadows,Cannons,2019-07-12,231825,76,0.114,0.737,0.678,0.157,0.123,-7.011,0.0962,102.051,0.698,4,6,0,spotify:track:4o0LyB69tylqDG6eTGhmig,2019
Hard To Say Goodbye,Mister Mellow,Washed Out,2017-06-30,252920,0,0.114,0.709,0.778,0.323,0.218,-5.59,0.0361,113.993,0.723,4,10,0,spotify:track:09QlRNe1CHMcF7VYwsWHfI,2017
Weekend,Skin Companion EP II,Flume,2017-02-17,259176,46,0.51,0.263,0.341,0.526,0.0632,-10.32,0.0329,129.626,0.0396,4,1,0,spotify:track:797cARXs5UuXT7anWuILTP,2017
Next To You,Next To You,A-Minor,2017-07-14,187752,24,0.0607,0.732,0.671,0.0617,0.116,-6.747,0.0517,124.084,0.265,4,7,0,spotify:track:1ty8PZiyvorBlb2ZZHOQSL,2017
Time (feat. JGrrey),Time (feat. JGrrey),Conducta,2020-11-18,180671,34,0.0709,0.802,0.76,2.89e-06,0.0968,-3.523,0.142,133.891,0.611,4,10,0,spotify:track:5eudtOzYsA5XejYVw8Nnlf,2020
Meateater,The Dots,ALASKALASKA,2019-05-03,265115,42,0.227,0.538,0.668,0.104,0.21,-8.36,0.0389,114.968,0.438,4,11,0,spotify:track:4QED6EwRbgMLDdbY2N3AVW,2019
SMILING,EXTRA EXTRA!,Lou Phelps,2020-10-30,169013,0,0.108,0.765,0.831,0.0,0.172,-4.522,0.353,103.128,0.447,4,1,1,spotify:track:5ckoxPHWZ1nC7wcWpDQbNn,2020
FOR MY PEOPLE,ALL-AMERIKKKAN BADA$$,Joey Bada$$,2017-04-07,232765,59,0.111,0.672,0.704,0.0,0.115,-6.628,0.165,100.986,0.188,4,11,0,spotify:track:7CzWRneYi3P7dZqJM0SkUs,2017
Mojo So Dope,Man On The Moon II: The Legend Of Mr. Rager,Kid Cudi,2010-11-09,210586,67,0.547,0.614,0.785,0.844,0.348,-8.224,0.0673,180.036,0.853,4,6,0,spotify:track:6hPSal3ragmfUt1I5mKZjn,2010
Taxi’s Here,Currents B-Sides & Remixes,Tame Impala,2017-11-16,287306,57,0.621,0.571,0.568,0.513,0.0687,-6.969,0.0316,101.001,0.431,4,7,0,spotify:track:1T5tDibcj3AmFmPxYGm6vp,2017
Bad Loves Company,Bad Actress,Dem Atlas,2018-10-19,233933,0,0.0136,0.655,0.706,0.0,0.506,-6.702,0.274,86.105,0.289,4,4,0,spotify:track:2goNdRuZKhK0xemqVrRHYq,2018
You're Still a Mystery,Strange Desire,Bleachers,2014-07-14,264853,49,0.275,0.569,0.85,0.0057,0.297,-6.699,0.0538,160.043,0.792,4,4,1,spotify:track:2jjFo90fZtQrhPNrwRxN0C,2014
Rouge,Lune Rouge,TOKiMONSTA,2017-10-06,133130,45,0.117,0.635,0.805,0.849,0.566,-4.756,0.0261,99.967,0.315,4,4,0,spotify:track:1y4OnSCtttqYNLA1602LYh,2017
Moonlight,4:44,JAY-Z,2017-07-07,143986,53,0.236,0.758,0.633,0.0,0.272,-8.373,0.391,88.17,0.516,4,5,0,spotify:track:39ukbGu3UVWs74ba83T68c,2017
To Dance Is To Love,"Three, Fever",Charlie Burg,2019-01-04,213232,46,0.029,0.874,0.58,0.000155,0.0981,-5.322,0.0467,104.99,0.661,4,0,1,spotify:track:50QNpowB5bvfcMobBJ9Vb6,2019
Malibu Man,Waiting on a Song,Dan Auerbach,2017-06-02,216106,54,0.127,0.615,0.782,0.00165,0.078,-4.683,0.0346,105.736,0.902,4,9,1,spotify:track:5fp7TUlIjOMdhNMkJJIvgx,2017
Nervous Tics (feat. Holly Walker),Kingdoms In Colour,Maribou State,2018-09-07,254020,66,0.761,0.811,0.615,0.578,0.0974,-9.41,0.0446,125.99,0.743,4,0,0,spotify:track:2oJ8Il24SIiDCJv39RYzPp,2018
Emily Ivory,Emily Ivory,Guster,2021-05-05,264740,20,0.101,0.634,0.803,1.11e-05,0.195,-5.658,0.0285,105.053,0.658,4,0,1,spotify:track:4cN03Z1nDr38Fmv2GN5CUM,2021
The Cure,Melt Away,Jadu Heart,2019-08-16,237000,51,0.204,0.493,0.641,0.193,0.0932,-7.394,0.0866,97.877,0.195,3,11,1,spotify:track:2m5YtiQtdG0oYj3i7OSBUV,2019
Steady Now,Notes from the Archive: Recordings 2011-2016,Maggie Rogers,2020-12-18,230920,43,0.000221,0.432,0.735,0.00687,0.0747,-4.194,0.0256,98.879,0.261,4,8,0,spotify:track:7ECVT4me1fys8IKblfgrEc,2020
