name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year
Proper Dose,Proper Dose,The Story So Far,2018-09-21,140461,55,1.49e-05,0.449,0.976,0.00367,0.102,-3.853,0.0625,104.08,0.513,4,5,0,spotify:track:0UtBjb4YUMbbtIKNXUeCLx,2018
Keep This Up,Proper Dose,The Story So Far,2018-09-21,146622,57,8.36e-05,0.26,0.985,0.000122,0.367,-3.704,0.063,103.54,0.292,4,9,1,spotify:track:0hsCfXTwB1QhJDpLmf1Q8U,2018
Take Me as You Please,Proper Dose,The Story So Far,2018-09-21,222869,57,0.00131,0.478,0.61,0.0,0.211,-5.945,0.0277,149.993,0.504,4,5,1,spotify:track:5JCD9hxovnHVF72WXt7App,2018
If I Fall,Proper Dose,The Story So Far,2018-09-21,207309,52,0.00827,0.241,0.901,0.0,0.375,-4.803,0.0419,96.468,0.698,4,6,1,spotify:track:545qISq6Oh05QSMBVLQXg6,2018
Out of It,Proper Dose,The Story So Far,2018-09-21,158452,54,0.000157,0.381,0.939,0.0,0.389,-3.255,0.0523,173.02,0.635,4,2,1,spotify:track:3XSHoPUiTR7cvQoQPHGb8E,2018
Upside Down,Proper Dose,The Story So Far,2018-09-21,231349,56,0.00336,0.531,0.768,2.71e-06,0.163,-5.64,0.0287,105.974,0.329,4,1,1,spotify:track:4ZiAnGIZFFUybp0NZXIYEG,2018
Let It Go,Proper Dose,The Story So Far,2018-09-21,167889,48,0.00772,0.321,0.937,9.46e-05,0.21,-4.281,0.0613,172.974,0.344,3,0,1,spotify:track:0LD5KOEiegITINNgwiEwUh,2018
Line,Proper Dose,The Story So Far,2018-09-21,157053,44,0.047,0.55,0.875,0.875,0.109,-8.255,0.0419,102.97,0.521,4,8,1,spotify:track:3nOanVbSDTety25Gdo3Xim,2018
The Good Left Undone,The Sufferer & The Witness,Rise Against,2006-01-01,181453,54,0.000212,0.179,0.979,1.72e-06,0.131,-3.803,0.145,197.022,0.524,5,1,0,spotify:track:3Effll2C7OnP2isgbVPJje,2006
Need to Know,Proper Dose,The Story So Far,2018-09-21,171938,46,4.56e-05,0.247,0.927,1.04e-05,0.345,-4.293,0.0803,95.0,0.49,3,8,0,spotify:track:1NOJdMXrAQ1UAdtU58Nhk5,2018
