name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year
Party On Darwin,Like Wind Blows Fire,Cheers Elephant,2012-05-08,157880,15,0.00436,0.654,0.701,2.26e-06,0.319,-7.68,0.0381,144.01,0.961,4,4,1,spotify:track:4D2hR9OriCbC74HlUXKNKR,2012
Teddy Picker,Favourite Worst Nightmare (Standard Version),Arctic Monkeys,2007-04-24,160640,62,0.000413,0.637,0.973,2.23e-05,0.104,-3.386,0.112,150.223,0.8,4,9,1,spotify:track:4OkPamOn5GofkOQu64Z4eR,2007
This Song Is Not About A Girl,Lockjaw,Flume,2013-11-22,254037,0,0.143,0.732,0.668,0.207,0.176,-6.978,0.126,140.005,0.598,4,2,0,spotify:track:103Ec6ekbiq6hvUfAK9F8o,2013
Banana Pancakes,In Between Dreams,Jack Johnson,2005-01-01,191906,72,0.607,0.816,0.375,8.66e-06,0.0933,-8.053,0.0996,114.303,0.615,4,7,1,spotify:track:451GvHwY99NKV4zdKPRWmv,2005
The Less I Know The Better,Currents,Tame Impala,2015-07-17,216320,88,0.0115,0.64,0.74,0.00678,0.167,-4.083,0.0284,116.879,0.785,4,4,1,spotify:track:6K4t31amVTZDgR3sKmwUJJ,2015
Work Out,Cole World: The Sideline Story,J. Cole,2011-09-23,234773,0,0.0531,0.831,0.427,0.0,0.316,-6.903,0.106,93.004,0.216,4,2,1,spotify:track:6rbeWjEavBHvX2kr6lSogS,2011
Australia,Wincing The Night Away,The Shins,2007-01-23,236733,0,0.00442,0.434,0.842,0.000142,0.308,-4.468,0.038,169.935,0.838,4,4,1,spotify:track:1JQiZTI59vPKwXHaU0md7I,2007
Secret,Songs About Jane,Maroon 5,2002-06-25,295000,53,0.256,0.42,0.438,0.000117,0.0963,-8.402,0.051,87.986,0.149,4,5,1,spotify:track:64i1dyG9Td5z5Q0TCG17Pb,2002
Barely Legal,Is This It,The Strokes,2001-07-30,234693,57,0.00326,0.424,0.884,0.0499,0.0903,-6.286,0.0365,157.813,0.852,4,0,1,spotify:track:21Ay8Y9Pr91nSauPGtK6MW,2001
Photograph,Weezer (Green Album),Weezer,2001-05-15,139093,51,9.33e-05,0.463,0.899,0.00145,0.395,-4.554,0.0459,124.796,0.404,4,9,1,spotify:track:4hA3OFMvHCFCK3TfJYdbif,2001
Rich Niggaz,Born Sinner,J. Cole,2013-06-14,276093,0,0.472,0.586,0.717,0.00236,0.104,-8.543,0.197,125.007,0.306,4,8,0,spotify:track:0QpYkajexWrB0P3TWvkHlm,2013
Burning,Dreams,The Whitest Boy Alive,2006-09-04,191173,0,0.671,0.721,0.758,0.891,0.133,-7.536,0.0372,150.825,0.864,4,11,0,spotify:track:08HmtdAdRYiutP5WO02utw,2006
While My Guitar Gently Weeps - Remastered 2009,The Beatles (Remastered),The Beatles,1968-11-22,285000,73,0.0205,0.453,0.654,0.00395,0.172,-8.855,0.0317,115.0,0.702,4,4,0,spotify:track:389QX9Q1eUOEZ19vtzzI9O,1968
Do Me a Favour,Favourite Worst Nightmare (Standard Version),Arctic Monkeys,2007-04-24,205240,62,7.84e-05,0.471,0.735,0.122,0.101,-6.685,0.0582,180.127,0.636,4,11,0,spotify:track:13NCxLOlvQ4Tnexgfp03Gs,2007
Swim and Sleep (Like a Shark),II (Deluxe Edition),Unknown Mortal Orchestra,2013-10-22,165226,0,0.124,0.766,0.806,0.171,0.119,-10.011,0.0403,123.509,0.76,4,8,1,spotify:track:0nWNsAGL83rLorldSfdBii,2013
Money Jar,Wayne Interest,Tijuana Panthers,2014-06-03,203072,0,0.00033,0.454,0.909,0.411,0.117,-5.084,0.0778,77.077,0.744,4,9,1,spotify:track:5EGy5gNkPH1boc75GFMHyY,2014
Gibraltar,No No No,Beirut,2015-09-11,221720,0,0.714,0.75,0.292,0.0464,0.118,-8.988,0.0357,109.769,0.483,4,1,0,spotify:track:5WUxLqUKQdEZ5oW3uZiSni,2015
Happiness Is A Warm Gun - Remastered 2009,The Beatles (Remastered),The Beatles,1968-11-22,164546,62,0.523,0.431,0.54,1.34e-06,0.169,-9.6,0.0589,139.288,0.44,4,9,0,spotify:track:71LsKf3xISiOlY1mj7FFPP,1968
The Next Episode,2001,Dr. Dre,1999-11-16,161506,88,0.0281,0.922,0.909,0.0,0.0856,-2.429,0.27,95.295,0.309,4,10,0,spotify:track:4LwU4Vp6od3Sb08CsP99GC,1999
