name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year
Karma,Internet Killed The Rockstar,MOD SUN,2021-02-12,159393,68,0.0246,0.461,0.825,0.0,0.224,-3.583,0.115,198.045,0.412,4,8,1,spotify:track:7vXtuHrqgzQi58ihUO7L2d,2021
estella//,estella//,KennyHoopla,2020-11-20,118733,61,0.000839,0.472,0.811,0.000143,0.373,-5.121,0.0612,164.991,0.637,4,8,1,spotify:track:4v2Bq0xDB7uNN73I5b44Du,2020
Sick and Tired (ft. Machine Gun Kelly and Travis Barker),I'm Gone,iann dior,2020-06-12,144000,77,0.151,0.748,0.492,0.0,0.146,-8.584,0.0498,145.097,0.483,4,11,1,spotify:track:0DILU9jjSTnCv1dcbUH3ib,2020
Lavender Bones,Skinny Dipping,Stand Atlantic,2018-10-26,204253,60,0.000208,0.55,0.936,2.6e-06,0.302,-2.881,0.0774,158.02,0.761,4,8,1,spotify:track:11RX9JI2RFo70n5XH8U3Mk,2018
Hate Me (Sometimes),Pink Elephant,Stand Atlantic,2020-08-07,233453,59,0.00171,0.573,0.878,0.0,0.0686,-3.497,0.0571,131.915,0.534,4,6,1,spotify:track:69Y6dB1U7AZ0FfDdzol6ir,2020
Cloud 9,Honeymoon,Beach Bunny,2020-02-14,147350,83,0.00167,0.637,0.929,2.62e-05,0.344,-3.593,0.0491,80.974,0.902,4,4,1,spotify:track:6vFsBXYczYsP0H3lgunZOm,2020
Hills Have Eyes,Hills Have Eyes,POORSTACY,2020-12-11,130588,68,0.000103,0.473,0.792,0.0495,0.154,-3.171,0.0421,169.975,0.587,4,0,1,spotify:track:3HUB8GPbaGpIpjRoONLJP4,2020
Future Me Hates Me,Future Me Hates Me,The Beths,2018-08-10,245813,0,1.96e-05,0.476,0.774,0.00168,0.117,-6.999,0.0308,137.093,0.591,4,4,1,spotify:track:0hY72avNehvdV7YVBEH4oo,2018
Jurassic Park,Pink Elephant,Stand Atlantic,2020-08-07,146436,54,0.0016,0.545,0.949,0.0,0.124,-3.601,0.0558,97.047,0.581,4,10,1,spotify:track:34gFMDaZ1N41KjcUspPUtj,2020
I Think I'm OKAY (with YUNGBLUD & Travis Barker),Hotel Diablo,Machine Gun Kelly,2019-07-05,169397,81,0.0257,0.628,0.744,0.0,0.313,-4.718,0.0379,119.921,0.277,4,7,1,spotify:track:2gTdDMpNxIRFSiu7HutMCg,2019
Private Eye,From Here to Infirmary,Alkaline Trio,2001,210173,54,0.000472,0.412,0.947,0.00771,0.3,-4.827,0.0726,165.836,0.754,4,7,1,spotify:track:5W68YeADvFGOegS3TmP7w8,2001
Girl Next Door,Girl Next Door,LiL Lotus,2021-02-16,157984,43,0.00265,0.519,0.912,5.69e-06,0.3,-4.523,0.04,164.941,0.879,4,0,1,spotify:track:34cor1Dwm305icYCkbfvat,2021
Never Coming Home,Retrograde,Point North,2019-02-01,196363,56,0.01,0.48,0.949,0.0,0.0761,-2.341,0.0854,164.956,0.637,4,4,1,spotify:track:0yNBLz1uAyx4FCxkdkQcqf,2019
SAVE YOURSELF,Pegasus: Neon Shark vs Pegasus Presented By Travis Barker (Deluxe),Trippie Redd,2021-02-19,160729,49,0.000263,0.326,0.889,0.00334,0.439,-3.415,0.0727,179.953,0.439,4,1,0,spotify:track:6JzbkB4lEx26S7aQOj1Z2C,2021
Kinda Like It Now,Kinda Like It Now,MOD SUN,2020-01-16,151786,54,0.021,0.657,0.605,0.0,0.233,-5.77,0.0302,132.972,0.29,4,7,1,spotify:track:1iiC6UjT3ueAj5f9BA48d7,2020
Promises,Honeymoon,Beach Bunny,2020-02-14,231197,52,0.00118,0.558,0.856,0.00729,0.199,-2.808,0.0423,78.472,0.6,4,9,1,spotify:track:42aMYn1VqnZHIPGhnLhqhh,2020
