name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year
Out of It,Out of It,The Story So Far,2017-09-14,161523,40,1.37e-05,0.282,0.961,0.0478,0.303,-3.273,0.116,172.954,0.469,4,7,1,spotify:track:73QyfpApOMk3fApexIedBR,2017
Elevated,The Finer Things,State Champs,2013-10-08,209021,55,0.00548,0.267,0.981,0.0,0.0346,-2.04,0.136,188.181,0.456,4,5,1,spotify:track:2GNkR4EfPnXi0zRl5A89ky,2013
Nothing's Wrong,The Finer Things,State Champs,2013-10-08,205675,38,0.00122,0.439,0.994,0.0,0.0828,-1.733,0.0685,94.99,0.368,4,8,1,spotify:track:4DZpxJtsCqrxeGCIOOqWkC,2013
Empty Space,What You Don't See,The Story So Far,2013-03-26,149936,58,5.27e-05,0.493,0.931,0.0,0.272,-3.651,0.0478,104.52,0.593,4,10,0,spotify:track:7qTYjaaLpEOQzrgqtQ3py2,2013
Mental Health,Phoenix,zebrahead,2008,193925,35,0.00693,0.52,0.99,0.0,0.3,-1.369,0.132,149.947,0.456,4,6,1,spotify:track:732fs63uFgMhF2JZDByDAq,2008
Never Let This Go,All We Know Is Falling,Paramore,2005-07-26,220966,53,0.0226,0.519,0.88,0.0,0.135,-3.929,0.0447,144.968,0.529,4,6,1,spotify:track:2itu79WbZhUCHX4jg0fyAd,2005
Kings of the Weekend,California,blink-182,2016-07-01,176426,47,0.00271,0.568,0.932,0.0,0.047,-2.925,0.0987,88.519,0.752,4,7,1,spotify:track:6ndjTv3CjbsbefFfYk7UQk,2016
Losing Myself,Around the World and Back,State Champs,2015-10-16,197470,44,0.000115,0.545,0.939,6.7e-06,0.129,-4.009,0.0671,130.03,0.558,4,5,0,spotify:track:1Pp22pJ31jDQ76uXRtHaMH,2015
Radio,Maybe I'll Catch Fire,Alkaline Trio,2000-03-06,281040,58,0.0348,0.649,0.657,0.000372,0.136,-6.607,0.0258,113.423,0.434,4,2,1,spotify:track:3VVstQ0fpj4pdSPe2QZT5z,2000
Home Is Such A Lonely Place,California,blink-182,2016-07-01,201480,56,0.00877,0.331,0.672,1.47e-06,0.111,-5.679,0.0324,115.001,0.211,4,2,1,spotify:track:7fYOZjdpOv8dBtzPnXysOG,2016
Simple Existence,The Finer Things,State Champs,2013-10-08,225654,41,0.000802,0.413,0.977,0.0,0.0243,-2.377,0.136,164.98,0.511,4,3,1,spotify:track:2mpiO7WTKwVMDtUa6VQQez,2013
Come Undone,My Darkest Days,My Darkest Days,2010-01-01,248493,55,9.11e-05,0.417,0.882,0.0,0.12,-4.319,0.0323,174.015,0.449,4,3,1,spotify:track:4qR4J8QRTeN0W8Rp5nVdzi,2010
Lean On Sheena,The Gold Record,The Bouncing Souls,2006-06-06,200786,56,0.16,0.491,0.866,0.000211,0.13,-4.431,0.0583,175.969,0.694,4,11,1,spotify:track:7IR7GUO0dUyUsBp7BfQ3vJ,2006
Before I Die,The Connection,Papa Roach,2012-10-02,265066,44,0.00227,0.579,0.668,0.0278,0.12,-9.017,0.0305,140.051,0.28,4,9,0,spotify:track:5fCSwj4YujZrzH2hwR4jfT,2012
Do It Again,Come Dancing with the Kinks (The Best of the Kinks 1977-1986),The Kinks,1986-06-01,249560,0,0.149,0.571,0.872,0.00293,0.373,-10.343,0.0438,132.105,0.673,4,7,1,spotify:track:5JIUvtu1UwoaBanmIGHv3m,1986
Don't Do Me Like That,Greatest Hits,Tom Petty and the Heartbreakers,2010-01-01,161600,0,0.131,0.764,0.664,1.4e-05,0.0889,-7.868,0.0269,116.107,0.962,4,0,1,spotify:track:487KLCKteHJzeoGdbBrgkq,2010
Bad Luck,What You Don't See,The Story So Far,2013-03-26,141298,46,0.00022,0.388,0.986,4.99e-05,0.354,-3.287,0.193,184.921,0.266,4,1,1,spotify:track:3GzbIggeqpHMkLw62YtmkL,2013
Look Away,Welcome To The Masquerade (Fan Edition),Thousand Foot Krutch,2009,241613,33,0.272,0.407,0.667,0.0,0.187,-5.919,0.0332,152.04,0.416,3,7,1,spotify:track:5TzTrxopA7LL488ycti5nI,2009
Jambalaya (On The Bayou),The Complete Hank Williams,Hank Williams,1998-01-01,172133,0,0.726,0.527,0.294,0.0,0.0707,-10.605,0.0351,164.979,0.882,4,7,1,spotify:track:4N71lZmEMtdDyCibSlUX3k,1998
45,Leave a Whisper (Deluxe Edition),Shinedown,2003-05-27,250093,70,0.0022,0.446,0.657,0.0,0.189,-4.494,0.0262,152.132,0.215,3,7,1,spotify:track:420JGkyLfLUZcgBHKiIK9v,2003
All You Are Is History,Around the World and Back,State Champs,2015-10-16,182080,46,5.37e-05,0.373,0.97,0.0,0.363,-3.379,0.248,195.083,0.667,4,8,1,spotify:track:6FSM511TqUHUD09nRua1Go,2015
(What A) Wonderful World,The Man Who Invented Soul,Sam Cooke,2000-09-26,125440,72,0.627,0.691,0.507,0.0,0.457,-10.23,0.0343,128.518,0.885,4,11,1,spotify:track:2g2GkH3vZHk4lWzBjgQ6nY,2000
Sympathetic,Disclaimer II,Seether,2004-01-01,250600,36,4.7e-05,0.517,0.921,0.0195,0.0944,-3.134,0.0305,107.718,0.335,4,2,1,spotify:track:2E2H62fikWoSD2Wyk2cBlV,2004
Mr. Brightside,Hot Fuss,The Killers,2004-06-15,222586,79,0.00101,0.356,0.924,0.0,0.0953,-3.74,0.0808,148.017,0.232,4,1,1,spotify:track:7oK9VyNzrYvRFo7nQEYkWN,2004
Hairline Fracture,Appeal To Reason,Rise Against,2008-01-01,242560,34,0.000324,0.23,0.935,5.24e-06,0.459,-3.489,0.0838,165.329,0.463,4,10,1,spotify:track:4dMZ0ueUQch24tjzNuzjbg,2008
