name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year
Pork Soda,How To Be A Human Being,Glass Animals,2016-08-26,253831,69,0.121,0.698,0.664,0.00131,0.331,-7.828,0.0778,96.001,0.623,4,7,1,spotify:track:5C5gvDZsl6d8bh89URfKHr,2016
Next Year - RAC Remix,Next Year,Two Door Cinema Club,2013-01-01,286093,0,0.28,0.731,0.736,0.0,0.0913,-6.498,0.0478,123.056,0.392,4,7,1,spotify:track:5SL5AexE9va7cP6s0B9E4m,2013
The Other Side Of Paradise,How To Be A Human Being,Glass Animals,2016-08-26,320654,79,0.349,0.689,0.338,5.7e-05,0.0649,-7.634,0.0629,128.012,0.568,4,11,0,spotify:track:0rRjGruFonCGOt0S5zAJNQ,2016
Money Jar,Wayne Interest,Tijuana Panthers,2014-06-03,203072,0,0.00033,0.454,0.909,0.411,0.117,-5.084,0.0778,77.077,0.744,4,9,1,spotify:track:5EGy5gNkPH1boc75GFMHyY,2014
Rainy Taxi,They Want My Soul,Spoon,2014-08-05,238186,39,0.0266,0.685,0.943,0.000587,0.0829,-1.865,0.0537,146.03,0.934,4,7,0,spotify:track:3RT6bUy53Jshe5eZqDOmkv,2014
Out in the Way (feat. Wild Nothing),What a Pleasure,Beach Fossils,2011-03-08,232007,0,0.00117,0.541,0.786,0.912,0.225,-6.731,0.0274,133.009,0.744,4,11,1,spotify:track:46Q055p0kvvoeIcM9iXzVP,2011
Fake Tales Of San Francisco,"Whatever People Say I Am, That's What I'm Not",Arctic Monkeys,2006-02-21,177946,55,0.00998,0.454,0.778,0.0,0.0427,-4.225,0.0449,127.158,0.704,4,9,1,spotify:track:4KGyQfes7t5BiaoBvs380e,2006
Life Itself,How To Be A Human Being,Glass Animals,2016-08-26,281406,70,0.0147,0.699,0.67,0.22,0.356,-6.219,0.0347,111.988,0.556,4,1,1,spotify:track:32zkKx35Et6A515oZKxDkD,2016
Fill in the Blank,Teens of Denial,Car Seat Headrest,2016-05-20,244506,0,0.00736,0.339,0.829,1.26e-05,0.0596,-7.239,0.058,162.798,0.5,4,9,1,spotify:track:1EALzILzmIPtRIvYyo6Lwm,2016
Teddy Picker,Favourite Worst Nightmare (Standard Version),Arctic Monkeys,2007-04-24,160640,62,0.000413,0.637,0.973,2.23e-05,0.104,-3.386,0.112,150.223,0.8,4,9,1,spotify:track:4OkPamOn5GofkOQu64Z4eR,2007
Nobody Really Cares If You Don't Go to the Party,"Sometimes I Sit and Think, and Sometimes I Just Sit (Special Edition)",Courtney Barnett,2015-11-06,166080,0,1.64e-05,0.421,0.93,0.128,0.341,-5.133,0.0741,136.688,0.574,4,9,1,spotify:track:6tyD5QdjkJvy7xDXI65pb5,2015
Hot Thoughts,Hot Thoughts,Spoon,2017-03-17,228653,0,0.0484,0.679,0.902,0.155,0.645,-3.627,0.0303,108.995,0.493,4,8,1,spotify:track:70x1x9NbSJJXkrgvIyyAVX,2017
Amy Amy Amy,Frank,Amy Winehouse,2003-10-20,254727,35,0.0336,0.715,0.552,7.6e-05,0.0823,-8.307,0.244,80.031,0.618,4,0,1,spotify:track:0QB8q0DS3R1Q94x5aiW26O,2003
Angels (feat. Saba),Coloring Book,Chance the Rapper,2016-05-27,206240,63,0.294,0.771,0.647,0.0,0.37,-5.127,0.376,155.914,0.678,4,5,0,spotify:track:0jx8zY5JQsS4YEQcfkoc5C,2016
Paws,Mirror Maru EP,Cashmere Cat,2012-10-22,262013,0,0.478,0.707,0.575,0.128,0.103,-6.629,0.0343,129.953,0.216,4,2,0,spotify:track:1D17MLY1m8MUpbMveEljMN,2012
On Hold,I See You,The xx,2017-01-13,224133,1,0.0522,0.723,0.669,0.192,0.109,-6.784,0.0348,125.051,0.35,4,0,1,spotify:track:5CPqOpKSk0QcJ3dGdaWcRB,2017
Heehaw Stomp,Are You In Or Out?,The Growlers,2009-10-06,196226,0,0.603,0.53,0.726,0.00252,0.708,-6.082,0.0322,121.975,0.644,4,4,0,spotify:track:5hp7fQvaPDyO3NiQFx4DX0,2009
Can I Sit Next to You,Hot Thoughts,Spoon,2017-03-17,234213,0,0.283,0.761,0.801,0.00164,0.029,-3.492,0.0771,102.999,0.882,4,11,0,spotify:track:0AEDv1M9FMXJGFprzukZqy,2017
Making Breakfast,Wild Onion,Twin Peaks,2014-08-05,132668,54,0.000267,0.495,0.782,0.736,0.54,-4.694,0.0315,116.114,0.451,4,9,1,spotify:track:5HjqXQPZi27d92H5gCo1Oq,2014
